date,CLOSE,ret
2005-01-05,992.564,0.009941045631129297
2005-01-06,983.174,-0.009460347141343028
2005-01-07,983.958,0.0007974173442339971
2005-01-10,993.879,0.010082747434341677
2005-01-11,997.135,0.003276052718691025
2005-01-12,996.748,-0.0003881119407100897
2005-01-13,996.877,0.00012942087669087776
2005-01-14,988.306,-0.008597851088950725
2005-01-17,967.452,-0.021100752196182238
2005-01-18,974.689,0.007480474483488653
2005-01-19,967.21,-0.007673216790176074
2005-01-20,956.245,-0.011336731423372437
2005-01-21,982.604,0.02756511145156315
2005-01-24,998.133,0.01580392508070383
2005-01-25,997.775,-0.0003586696362108954
2005-01-26,989.928,-0.007864498509182916
2005-01-27,974.631,-0.015452638979804645
2005-01-28,969.209,-0.00556313107216988
2005-01-31,954.879,-0.014785252716390307
2005-02-01,955.951,0.0011226553311989296
2005-02-02,1006.913,0.053310263810592895
2005-02-03,993.215,-0.013603955853186855
2005-02-04,1016.858,0.02380451362494518
2005-02-16,1023.584,0.006614492879045031
2005-02-17,1020.606,-0.0029093850626816797
2005-02-18,1006.055,-0.014257215810998591
2005-02-21,1025.633,0.019460168678650858
2005-02-22,1046.744,0.020583386064995768
2005-02-23,1043.944,-0.002674961595194203
2005-02-24,1045.46,0.0014521851746838177
2005-02-25,1046.761,0.0012444282899393144
2005-02-28,1039.989,-0.006469480616874246
2005-03-01,1035.934,-0.0038990797018045864
2005-03-02,1021.32,-0.014107076319533784
2005-03-03,1027.71,0.006256609094113408
2005-03-04,1023.667,-0.003933989160366247
2005-03-07,1029.871,0.006060564617204722
2005-03-08,1048.987,0.018561547999701
2005-03-09,1046.544,-0.002328913513704123
2005-03-10,1022.413,-0.023057797856564144
2005-03-11,1027.429,0.004906040905191977
2005-03-14,1031.026,0.0035009718433098858
2005-03-15,1013.523,-0.01697629351733132
2005-03-16,1003.065,-0.010318463419182411
2005-03-17,992.863,-0.01017082641703182
2005-03-18,978.665,-0.014300059524828823
2005-03-21,981.893,0.0032983707397322704
2005-03-22,964.024,-0.01819852061273486
2005-03-23,959.01,-0.005201115324929728
2005-03-24,964.801,0.006038518889271316
2005-03-25,962.955,-0.0019133479339262793
2005-03-28,960.696,-0.0023459040142063126
2005-03-29,955.19,-0.005731261502077589
2005-03-30,937.034,-0.01900773668066047
2005-03-31,942.203,0.00551634198972506
2005-04-01,978.145,0.03814676879610879
2005-04-04,962.168,-0.016333979113526076
2005-04-05,955.598,-0.0068283293562039216
2005-04-06,973.668,0.018909625177114364
2005-04-07,984.733,0.011364243253347173
2005-04-08,1003.445,0.019002105139159564
2005-04-11,995.421,-0.007996452222094885
2005-04-12,978.697,-0.016800931465179136
2005-04-13,1000.9,0.022686285949583995
2005-04-14,986.975,-0.013912478769107728
2005-04-15,974.082,-0.01306314749613724
2005-04-18,963.772,-0.010584324522986743
2005-04-19,965.886,0.002193464844382209
2005-04-20,950.867,-0.015549454076360991
2005-04-21,943.981,-0.007241811946360532
2005-04-22,939.101,-0.005169595574487151
2005-04-25,930.07,-0.009616644003147656
2005-04-26,937.083,0.007540292666143422
2005-04-27,926.604,-0.011182574008919088
2005-04-28,942.073,0.016694294434299817
2005-04-29,932.395,-0.010273089240430355
2005-05-09,909.174,-0.0249046809560326
2005-05-10,913.076,0.004291807728773689
2005-05-11,901.851,-0.012293609732377142
2005-05-12,885.82,-0.017775663607402903
2005-05-13,887.543,0.0019450904246911538
2005-05-16,875.271,-0.013826935709030486
2005-05-17,881.462,0.0070732378886082525
2005-05-18,883.196,0.001967186333613924
2005-05-19,884.171,0.0011039452171432984
2005-05-20,882.763,-0.001592452138783118
2005-05-23,863.341,-0.022001375227552633
2005-05-24,868.456,0.005924657811918976
2005-05-25,868.451,-5.7573440680469545e-06
2005-05-26,857.331,-0.012804406926815726
2005-05-27,849.508,-0.009124830433053233
2005-05-30,855.612,0.007185335511849189
2005-05-31,855.946,0.0003903638565143641
2005-06-01,837.532,-0.021513039373979193
2005-06-02,818.379,-0.02286837995443758
2005-06-03,818.033,-0.0004227869972225351
2005-06-06,838.997,0.025627327992880478
2005-06-07,837.282,-0.002044107428274433
2005-06-08,905.773,0.08180159133959641
2005-06-09,912.604,0.007541624667549263
2005-06-10,894.556,-0.019776376171921184
2005-06-13,892.959,-0.0017852431820927217
2005-06-14,883.537,-0.01055143629214772
2005-06-15,866.834,-0.018904697822502148
2005-06-16,879.237,0.014308391226001804
2005-06-17,880.345,0.001260183545505944
2005-06-20,906.255,0.029431643276215613
2005-06-21,896.166,-0.011132628233775144
2005-06-22,900.646,0.004999073832303358
2005-06-23,893.572,-0.007854362313272856
2005-06-24,898.301,0.005292242818709658
2005-06-27,916.043,0.019750618111301188
2005-06-28,903.716,-0.013456791875490537
2005-06-29,898.898,-0.005331320901699188
2005-06-30,878.686,-0.022485309790432284
2005-07-01,859.494,-0.02184170454519585
2005-07-04,855.932,-0.004144298854907635
2005-07-05,849.679,-0.00730548688447219
